added,title,url,tags,description
2020-11-29,Joel Hooks,https://joelhooks.com,,
2020-11-29,Gwern,https://www.gwern.net/index,,
2020-11-29,Maggie Appleton,https://maggieappleton.com,,
2020-12-10,HTML Energy,https://html.energy,,
2020-12-15,Board,https://lablnet.github.io/board,,an interactive board
2020-12-15,,https://olawalejuwonm.github.io/rest-countries-api-with-color-theme-switcher,,
2020-12-15,Webapp Tools,https://webapp.tools,,
2020-12-15,1 Point,https://1pt.co,geek service,URL shortener
2020-12-15,Unavatar,https://unavatar.now.sh,,
2020-12-16,Excalidraw,https://excalidraw.com,tool design drawing,drawing freely
2021-01-06,Litewrite,https://litewrite.net,,
2021-01-06,0data,https://0data.app,,
2021-01-06,Find internet4000,https://find.internet4000.com,,
2021-01-07,Infinite Gnossiennes,https://gnossiennes.mousereeve.com,,
2021-01-16,Pussthecat,https://pussthecat.org,geek service,hosted open source services
2021-01-16,LearnAnything,https://learn-anything.xyz,,
2021-01-16,ss64,https://ss64.com,geek,command line reference
2021-01-16,Blank Website,http://www.blankwebsite.com,,
2021-01-17,Webjeda,https://webjeda.com,,
2021-01-17,Color mixer,https://colormixer.web.app,,
2021-01-18,Lunar Explosion,https://lunarexploration.esa.int/intro,,
2021-01-22,Bernie sits,https://bernie-sits.herokuapp.com,odd,
2021-01-23,Nikita Voloboev’s Wiki,https://wiki.nikitavoloboev.xyz,,
2021-01-31,Darius Kazemi,https://tinysubversions.com/vibes,,
2021-01-31,Person,https://tinysubversions.com/stuff/person,,
2021-02-02,The Reboot,https://thereboot.com,,
2021-01-12,Create Habit,https://programs.clearerthinking.org/daily_ritual.html,,
2021-01-13,xiffy,https://xiffy.nl,,
2021-01-13,Bookwyrm,https://bookwyrm.social,service,"an open source, decentralized, and federated GoodReads alternative"
2021-02-23,The Search Engine Map,https://www.searchenginemap.com,,
2021-02-23,The Internet Map,https://internet-map.net,,
2021-03-11,NeverSSL,https://neverssl.com,,
2021-03-11,Good Old Web,https://www.goodoldweb.com,,
2021-03-11,The Indie Web,https://theindieweb.com,,
2021-03-11,Mondrian and me,https://mondrianandme.com,,
2021-03-11,The Zen Zone,https://thezen.zone,,
2021-03-11,Binary Music Player,https://tholman.com/binary-music-player,,
2021-03-11,Minimal IP address finder,https://ipaddress.sh,,
2021-03-11,Can’t Not Tweet This,https://cant-not-tweet-this.com,,
2021-03-11,The Useless Web,https://theuselessweb.com/sites,odd,
2021-03-11,The 512KB Club,https://512kb.club,,
2021-03-11,The 1MB Club,https://1mb.club,,
2021-03-11,The 250KB Club,https://250kb.club,,
2021-03-11,NoJS Club,https://nojs.club,,
2021-03-13,Jam,https://jam.systems,,
2021-03-14,Bearblog,https://bearblog.dev,,
2021-03-14,JustSketchMe,https://app.justsketch.me,,
2021-03-14,magic.do,https://www.magic.do,,
2021-03-14,Frugal Web Browser,https://frugalweb.xyz,geek web,concept of a web browser focused on privacy and performance
2021-03-15,NixNet Services,https://nixnet.services,,
2021-03-16,Andala,https://www.aliciaunderhill.xyz/Andala,,A drawing web app for symmetric designs
2021-03-16,Treasure Map,https://the-treasure-map.herokuapp.com,,unknown places around the world
2021-03-16,10 fast fingers,https://10fastfingers.com,,check typing speed
2021-03-16,Keybr,https://www.keybr.com,,improve typing speed
2021-03-16,Laurent Raufaste,http://www.glop.org,people,
2021-03-16,Gradient Avatar,https://gradient-avatar.glitch.me/xplosionmind,,
2021-03-16,Online Life Calendar,https://www.onlinelifecalendar.com,,
2021-03-20,Brand Colors,https://brandcolors.net,design,
2021-03-20,Tint & shade generator,https://maketintsandshades.com,web design,generate shades of a given color
2021-03-22,Expolibre,https://expolibre.org,geek event,
2021-03-22,Wizard Zines,https://wizardzines.com,geek,Learn Computer Science basic concepts through wonderful zines
2021-03-23,Fedidb,https://fedidb.org,geek,a database which keeps count of federated social networks’ instances
2021-03-23,Big Tech Detective,https://bigtechdetective.net,geek,a browser extension which highlights which big tech companies visited websites use
2021-04-04,clickclickclick.click,https://clickclickclick.click,geek game,a little online game based on user tracking
2021-04-04,Hemingway,https://hemingwayapp.com,writing,a tool to check repetitions and language use in a pasted text
2021-04-04,Scratch,https://hole.dev/scratch,geek,an interactive JavaScript scratchpad
2021-04-04,drumbit,https://drumbit.app,music,an online drum machine
2021-04-04,Vestigory,https://www.jacksondame.com/vestigory/get-started,lifelogging csv geek ios tool,a self-tracking app built with Shortcuts
2021-04-04,commandlinefu,https://www.commandlinefu.com,geek,is the place to record those command-line gems that you return to again and again
2021-04-05,LibreTranslate,https://libretranslate.com,tool translate,"an open API for translating, with a web client for occasional personal use"
2021-04-05,Up1,https://up1.ca,geek service,upload files encrypted by the client
2021-04-05,Himico Cloud Services,https://himiko.cloud/directory,geek service,"a great guy providing the main open source services out there for free, hosted by him"
2021-04-05,Have I been Facebooked?,https://haveibeenfacebooked.com,geek tool,a tool to understand if Facebook has your phone number
2021-04-13,Input,https://input.djr.com,design typography,create custom fonts for code
2021-04-13,Nikita Prokopov’s blog,https://tonsky.me,people design,a wonderful yellow personal website
2021-04-23,Fabio Barbero’s interactive CV,https://fabiobarbero.eu/interactive/cv,people creativity,my friend Fabio made this funny interactive CV
2021-05-02,Maya,https://maya.land,people,
2021-05-02,wordways,https://wordways.us,poetry,poetry
2021-05-02,ResultMaps,http://resultmaps.neis-one.org,maps geek,"several kinds of maps, based on OpenStreetMap"
2021-05-02,Lektor,https://www.getlektor.com,geek tool,interesting static site generator
2021-05-02,Jacob Hall’s WebRing,https://jacobhall.net/links.html,people webring,
2021-05-11T08:51:12+02:00,homebrewserver.club,https://homebrewserver.club,web diy,self hosting from home
2021-05-14,Cittadino Medio,https://cittadinomedio.online,learn,buone abitudini online che il cittadino medio non persegue
2021-05-15,Bill My Pocket,https://billmypocket.netlify.app,money,"List of subscriptions that are globally budget friendly, thanks to regional pricing."
2021-05-15,Ad Block Test,https://d3ward.github.io/toolz/src/adblock,tool,test how many trackers your browser blocks
2021-05-24,Mastodon instances,https://instances.social,fediverse geek,choose the Mastodon instance that most suits you
2021-05-24,unDraw,https://undraw.co,design,wonderful open source illustrations
2021-05-24,The Federation,https://the-federation.info,fediverse geek,information and statistics about the whole Fediverse
2021-05-24T17:25:43+02:00,LanguageTool,https://languagetool.org,geek tool,check grammar
2021-05-27T11:49:30+02:00,Open Foundry,https://open-foundry.com,geek design,"A free platform for curated open-source typefaces; to highlight their beauty, activate ideas and encourage exploration."
2021-05-31T10:33:00+02:00,No Text News,https://notext.news,geek photography,The news without the words
2021-06-02T10:01:20+02:00,Kill the Newsletter,https://kill-the-newsletter.com,geek service,convert Newsletter to Atom feeds
2021-06-14T10:13:15+02:00,Hundredrabbits,https://100r.co/site/home.html,geek diy culture art wiki people,"A story of two people living on a sailboat. Insightful, resourceful, inspiring, smart and awesome."
2021-06-14T10:19:03+02:00,Ted Hunt,https://ted-hunt.com,geek design art oddity,A beautifully designed website with some really good and curious entries.
2021-06-15T10:07:08+02:00,Crontab Guru,https://crontab.guru,geek tool,super useful tool to check crontabs structure and syntax
2021-06-16T12:27:40+02:00,Image Atlas,http://www.imageatlas.org/about,geek,a search engine proxy created by Aaron Swartz in order to show different results based on location
2021-06-16T12:55:18+02:00,theinfo.org,http://theinfo.org,geek data,large dataset of knowledge
2021-06-17T11:00:06+02:00,Cover Your Tracks,https://coveryourtracks.eff.org,geek tool,"test browser ads, tracking, and fingerprinting protection"
2021-06-20T09:00:36+02:00,Federated Networks Association,https://feneas.org,geek fediverse,a non-profit volunteer organization that aims to spread knowledge about federated web projects and help people and projects involved in this area
2021-07-07T07:08:26+02:00,Tokimeki Unfollow,https://tokimeki-unfollow.glitch.me,geek social tool,to unfollow accounts on Twitter
2021-09-06T23:13:39+02:00,Mastodon instances near me,https://umap.openstreetmap.fr/en/map/mastodon-near-me_550053#3/18.90/29.62,geek map,a map of local mastodon instances
2021-09-07T16:08:39+02:00,Halycon,https://www.halcyon.social,geek social fediverse,an online Mastodon client which makes it identical to Twitter
2021-10-01T11:01:12+02:00,fediverse.space,https://fediverse.space,fediverse geek,a net displaying Fediverse instances
2021-10-01T11:17:22+02:00,The Wittgenstein Project,https://www.wittgensteinproject.org,philosophy culture,an open collection of Wittgenstein’s writings
2021-10-04T12:55:19+02:00,Mind Mirror,https://archive.org/details/MindMirror4amCrack,geek game zen politics,"a terrific game to play with your mind, literally mindblowing."
2021-10-13T17:11:53+02:00,The Dictionary of Obscure Sorrows,https://www.dictionaryofobscuresorrows.com,language oddities idea,"there are not enough words in the world, let’s make some up"
2021-11-10T08:37:34+01:00,Radicle,https://radicle.xyz,tool geek service,a peer-to-peer stack for building software together.
2021-11-10T09:17:11+01:00,Inner Circles,https://innercircles.community,art ,nice website I do not really understand the purpose of.
2021-11-15T12:38:45+01:00,Dokieli,https://dokie.li,tool service idea fediverse,"a(n awesome) clientside editor for decentralised article publishing, annotations and social interactions."
2021-11-18T11:25:00+01:00,CSS Shadow Palette Generator,https://www.joshwcomeau.com/shadow-palette,tool,generating great shadow palettes to parse in CSS
2021-12-08T10:08:31+01:00,Hotline Webring,https://hotlinewebring.club,webring,
2021-12-08T10:51:30+01:00,Scribe,https://scribe.rip,tool,a Medium alternative front-end
2021-12-13T13:06:27+01:00,Slow Ways,https://slowways.org,service trekking,an initiative to create a national network of walking routes connecting all of Great Britain’s towns and cities as well as thousands of villages.
2021-12-23T23:56:26+01:00,Astral,https://astralapp.com,tool geek service,a service to organize and manage starred GitHub repositories
2022-01-04T14:34:56+01:00,Cosmic Voyage,https://cosmic.voyage,fiction,"a tilde community based around a collaborative science-fiction universe. Users write stories as the people aboard ships, colonies, and outposts, using the only remaining free, interconnected network that unites the dispersed peoples of the stars."
2022-01-08T22:02:41+01:00,Isaac Clayton,https://slightknack.dev,personal web,personal website
2022-01-23T08:01:07+01:00,Thomas Orus,https://thomasorus.com/home.html,personal design,Nice and comfy personal website of a French web designer
2022-03-10T08:50:38+01:00,Wheaton’s Law,http://www.wheatonslaw.com,quote knowledge,don’t be a dick
2022-04-08T11:43:49+02:00,the lands I’ve walked upon,https://lands-upon.netlify.app,whimsical log,a list of lands walked upon by a person
