date,what,where,url,lang,tags,notes,added
1648-10-24,https://en.wikipedia.org/wiki/Peace_of_Westphalia,"Westphalia, Germany",https://en.wikipedia.org/wiki/Peace_of_Westphalia,en,history,,2022-04-27T18:15:59+02:00
1789-08-26,Déclaration des droits de l’homme et du citoyen,"Versailles, France",https://fr.wikipedia.org/wiki/D%C3%A9claration_des_droits_de_l%27homme_et_du_citoyen_de_1789,fr,history politics,,2021-12-26T11:39:56+01:00
1883-03-14T14:45:00+01:00,Karl Marx’s death,"London, UK",https://en.wikipedia.org/wiki/Karl_Marx#Death,en,people,,2021-12-31T11:37:49+01:00
1967-01-27,Morte di Luigi Tenco,"Sanremo, Italia",https://www.rivistailmulino.it/news/newsitem/index/Item/News:NEWS_ITEM:5509,it,people,,2022-03-03T15:47:46+01:00
1869-11-17,Inauguration of the Suez Canal,Egypt,https://en.wikipedia.org/wiki/Suez_Canal#Timeline,en,history thing,,2022-01-03T10:42:08+01:00
1858,Britain assumes control of India officially,India,https://en.wikipedia.org/wiki/India#Modern_India,en,history politics,,2022-01-03T10:59:29+01:00
1628-11-12,Tumulto di San Martino,"Milano, Italia",https://promessisposi.weebly.com/tumulto-di-s-martino.html,it,history literature,"giorni di apice della carestia, che culminano nell’assalto ai forni, come raccontato ne <cite>I Promessi Sposi</cite>",2022-01-04T11:11:52+01:00
1941-12-07,Attack on Pearl Harbor,"Hawaii, USA",https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor,en,history,,2022-01-05T15:07:14+01:00
1516,Utopia,UK,https://en.wikipedia.org/wiki/Utopia_(book),en,philosophy literature book,,2022-01-16T15:49:19+01:00
